candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,stop_pct,rv_gate,trail_scale,threshold_scale
C_sp4.7_rv75_tr1.10_th1.20,334.3697,25.2671,309.1025,7,2,2,77.2811,-0.3714,True,4.7,75.0,1.1,1.2
C_sp4.7_rv80_tr1.10_th1.20,334.3697,25.2671,309.1025,7,2,2,77.2811,-0.3714,True,4.7,80.0,1.1,1.2
C_sp4.7_rv70_tr1.10_th1.20,333.0353,25.2671,307.7681,7,2,2,75.9467,-0.3714,True,4.7,70.0,1.1,1.2
C_sp4.8_rv75_tr1.10_th1.20,332.7755,25.2671,307.5084,7,2,2,75.6869,-0.3714,True,4.8,75.0,1.1,1.2
C_sp4.8_rv80_tr1.10_th1.20,332.7755,25.2671,307.5084,7,2,2,75.6869,-0.3714,True,4.8,80.0,1.1,1.2
C_sp4.9_rv75_tr1.10_th1.20,332.0537,25.2671,306.7866,7,2,2,74.9652,-0.3714,True,4.9,75.0,1.1,1.2
C_sp4.9_rv80_tr1.10_th1.20,332.0537,25.2671,306.7866,7,2,2,74.9652,-0.3714,True,4.9,80.0,1.1,1.2
C_sp4.8_rv70_tr1.10_th1.20,331.4241,25.2671,306.1569,7,2,2,74.3355,-0.3714,True,4.8,70.0,1.1,1.2
C_sp4.9_rv70_tr1.10_th1.20,330.6466,25.2671,305.3794,7,2,2,73.558,-0.3714,True,4.9,70.0,1.1,1.2
C_sp4.7_rv75_tr1.12_th1.20,330.208,25.2843,304.9237,7,2,2,73.1194,-0.3543,True,4.7,75.0,1.12,1.2
C_sp4.7_rv80_tr1.12_th1.20,330.208,25.2843,304.9237,7,2,2,73.1194,-0.3543,True,4.7,80.0,1.12,1.2
C_sp4.7_rv70_tr1.12_th1.20,328.894,25.2843,303.6097,7,2,2,71.8054,-0.3543,True,4.7,70.0,1.12,1.2
C_sp4.8_rv75_tr1.12_th1.20,328.6304,25.2843,303.3462,7,2,2,71.5419,-0.3543,True,4.8,75.0,1.12,1.2
C_sp4.8_rv80_tr1.12_th1.20,328.6304,25.2843,303.3462,7,2,2,71.5419,-0.3543,True,4.8,80.0,1.12,1.2
C_sp4.9_rv75_tr1.12_th1.20,327.9197,25.2843,302.6354,7,2,2,70.8311,-0.3543,True,4.9,75.0,1.12,1.2
C_sp4.9_rv80_tr1.12_th1.20,327.9197,25.2843,302.6354,7,2,2,70.8311,-0.3543,True,4.9,80.0,1.12,1.2
C_sp4.8_rv70_tr1.12_th1.20,327.2996,25.2843,302.0153,7,2,2,70.2111,-0.3543,True,4.8,70.0,1.12,1.2
C_sp4.9_rv70_tr1.12_th1.20,326.534,25.2843,301.2497,7,2,2,69.4454,-0.3543,True,4.9,70.0,1.12,1.2
C_sp4.7_rv75_tr1.10_th1.18,325.9625,25.2671,300.6953,7,2,2,68.8739,-0.3714,True,4.7,75.0,1.1,1.18
C_sp4.7_rv80_tr1.10_th1.18,325.9625,25.2671,300.6953,7,2,2,68.8739,-0.3714,True,4.7,80.0,1.1,1.18
C_sp4.7_rv70_tr1.10_th1.18,324.663,25.2671,299.3959,7,2,2,67.5744,-0.3714,True,4.7,70.0,1.1,1.18
C_sp4.8_rv75_tr1.10_th1.18,324.4008,25.2671,299.1337,7,2,2,67.3122,-0.3714,True,4.8,75.0,1.1,1.18
C_sp4.8_rv80_tr1.10_th1.18,324.4008,25.2671,299.1337,7,2,2,67.3122,-0.3714,True,4.8,80.0,1.1,1.18
C_sp4.9_rv75_tr1.10_th1.18,323.6979,25.2671,298.4308,7,2,2,66.6094,-0.3714,True,4.9,75.0,1.1,1.18
C_sp4.9_rv80_tr1.10_th1.18,323.6979,25.2671,298.4308,7,2,2,66.6094,-0.3714,True,4.9,80.0,1.1,1.18
C_sp4.8_rv70_tr1.10_th1.18,323.0847,25.2671,297.8176,7,2,2,65.9962,-0.3714,True,4.8,70.0,1.1,1.18
C_sp4.9_rv70_tr1.10_th1.18,322.3276,25.2671,297.0604,7,2,2,65.239,-0.3714,True,4.9,70.0,1.1,1.18
C_sp4.7_rv75_tr1.12_th1.18,321.7689,25.2843,296.4846,7,2,2,64.6804,-0.3543,True,4.7,75.0,1.12,1.18
C_sp4.7_rv80_tr1.12_th1.18,321.7689,25.2843,296.4846,7,2,2,64.6804,-0.3543,True,4.7,80.0,1.12,1.18
C_sp4.8_rv75_tr1.12_th1.18,320.224,25.2843,294.9397,7,2,2,63.1354,-0.3543,True,4.8,75.0,1.12,1.18
C_sp5.0_rv80_tr1.00_th1.00,257.0886,25.6386,231.45,0,0,0,0.0,0.0,False,5.0,80.0,1.0,1.0
