candidate_id,score,gate_ok_2y,wins_short_vs_C,1m_ret,d_1m_vs_C,2m_ret,d_2m_vs_C,3m_ret,d_3m_vs_C,4m_ret,d_4m_vs_C,5m_ret,d_5m_vs_C,6m_ret,d_6m_vs_C,1y_ret,d_1y_vs_C,2y_ret,d_2y_vs_OV,2y_mdd
G1-760828,131.07,True,4,107.43,0.0,172.85,-0.65,214.36,-0.75,261.4,-0.86,652.98,226.29,632.71,305.21,1592.55,758.72,1065.1,216.23,71.07
G1-789447,111.19,True,4,107.43,0.0,172.85,-0.65,214.36,-0.75,261.4,-0.86,609.17,182.49,590.01,262.51,1493.92,660.09,996.71,147.84,71.08
G1-536452,76.24,True,4,107.43,0.0,172.85,-0.65,214.36,-0.75,261.4,-0.86,532.09,105.4,514.9,187.4,1320.4,486.57,877.74,28.87,71.07
G1-513513,75.12,True,3,107.43,-0.0,172.85,-0.65,214.36,-0.75,261.4,-0.86,529.6,102.91,512.47,184.97,1314.79,480.96,874.12,25.25,71.06
G1-162939,75.08,True,4,107.43,0.0,172.85,-0.65,214.37,-0.75,261.4,-0.86,529.66,102.97,512.39,184.89,1314.61,480.78,873.18,24.31,71.08
G1-692760,74.41,True,4,107.43,0.0,172.85,-0.65,214.37,-0.74,261.41,-0.86,528.49,101.8,510.86,183.36,1311.07,477.24,869.73,20.86,71.11
G1-570248,74.06,True,4,107.43,0.0,172.86,-0.64,214.38,-0.74,261.41,-0.85,527.96,101.27,510.09,182.59,1309.31,475.48,867.06,18.19,71.16
G1-018203,-10067.64,False,3,107.24,-0.19,172.6,-0.9,214.08,-1.04,260.04,-2.22,518.67,91.99,502.36,174.86,1284.81,450.98,784.31,-64.56,72.63
G1-922452,-10207.79,False,3,107.39,-0.04,172.8,-0.7,214.31,-0.81,261.14,-1.12,472.81,46.13,457.46,129.96,1186.51,352.68,642.49,-206.38,75.65
G1-463344,-10214.23,False,4,107.43,0.0,172.85,-0.65,214.36,-0.75,261.4,-0.86,527.55,100.86,510.47,182.98,1310.19,476.36,635.67,-213.2,78.07
