engine,protective_stop_pct,windows,sum_delta_return,sum_delta_maxdd,sum_delta_equity,avg_delta_return_vs_base_pct,avg_delta_maxdd_vs_base_pct,avg_delta_equity_vs_base_usd,score
v1,5.0,8,-471.05670700981807,82.10367139311097,-47105.670700981806,-58.88208837622726,10.262958924138871,-5888.208837622726,-71.95436846074719
v1,7.0,8,-595.9152467256182,89.90350540083168,-59591.52467256183,-74.48940584070228,11.23793817510396,-7448.940584070228,-89.80490314734527
v1,6.0,8,-612.6591195418484,115.69608888456855,-61265.91195418484,-76.58238994273106,14.46201111057107,-7658.238994273105,-94.36403671440391
v1,4.0,8,-685.4859969606616,60.20228943981595,-68548.59969606616,-85.6857496200827,7.525286179976994,-8568.57496200827,-99.52202490807487
v1,8.0,8,-671.432609413673,104.7690253868735,-67143.2609413673,-83.92907617670913,13.096128173359187,-8392.907617670913,-101.48927351573147
v2,6.0,8,-960.3706052970093,54.92109326125525,-96037.06052970093,-120.04632566212616,6.865136657656906,-12004.632566212616,-136.8565538886986
v2,5.0,8,-970.454380660603,52.21246255047158,-97045.4380660603,-121.30679758257537,6.526557818808947,-12130.679758257538,-138.00606781399918
v2,7.0,8,-1042.8191125628587,87.10904605736766,-104281.91125628588,-130.35238907035733,10.888630757170958,-13035.238907035735,-151.00966950741272
v2,8.0,8,-1071.2040561719614,92.75318488902505,-107120.40561719614,-133.90050702149517,11.594148111128131,-13390.050702149518,-155.4064614014344
fev1,6.0,8,-1112.0669377011127,54.39181118166026,-111206.69377011128,-139.0083672126391,6.798976397707532,-13900.83672126391,-157.66848741229828
fev1,5.0,8,-1138.9261897648921,53.24619636986935,-113892.61897648923,-142.36577372061151,6.655774546233669,-14236.577372061154,-161.26139327503626
fev1,7.0,8,-1191.6694529649362,82.47388994193437,-119166.94529649364,-148.95868162061703,10.309236242741797,-14895.868162061704,-171.071015152598
fev1,8.0,8,-1227.6271767491016,87.56801439233013,-122762.71767491016,-153.4533970936377,10.946001799041266,-15345.33970936377,-176.46093806233037
v2,4.0,8,-1249.0496481100963,70.61048426427888,-124904.96481100966,-156.13120601376204,8.82631053303486,-15613.120601376208,-177.92274398826265
fev1,4.0,8,-1456.931182365381,81.10123198550288,-145693.1182365381,-182.1163977956726,10.13765399818786,-18211.639779567264,-207.42439537397138
