variant,window,start_equity,final_equity,pnl_usd,return_pct,max_dd_pct
G1-412837,1m,10000.0,20742.69,10742.69,107.43,16.73
G1-412837,2m,10000.0,27285.14,17285.14,172.85,16.73
G1-412837,3m,10000.0,31436.88,21436.88,214.37,24.69
G1-412837,4m,10000.0,36140.22,26140.22,261.4,28.08
G1-412837,5m,10000.0,70214.09,60214.09,602.14,28.08
G1-412837,6m,10000.0,68276.72,58276.72,582.77,31.08
G1-412837,1y,10000.0,157718.59,147718.59,1477.19,61.7
G1-412837,2y,10000.0,108471.43,98471.43,984.71,71.09
G1-570248,1m,10000.0,20742.69,10742.69,107.43,16.73
G1-570248,2m,10000.0,27285.7,17285.7,172.86,16.73
G1-570248,3m,10000.0,31437.52,21437.52,214.38,24.69
G1-570248,4m,10000.0,36140.96,26140.96,261.41,28.08
G1-570248,5m,10000.0,62796.3,52796.3,527.96,29.87
G1-570248,6m,10000.0,61009.27,51009.27,510.09,31.24
G1-570248,1y,10000.0,140930.79,130930.79,1309.31,61.78
G1-570248,2y,10000.0,96705.86,86705.86,867.06,71.16
