regime,days,win_rate_pct,avg_daily_pnl,median_daily_pnl,total_pnl,avg_return_pct,avg_drawdown_pct
PL_Sell_Early_<12,38,71.05263157894737,715.0023904327493,339.27055510427454,27170.090836444473,3.222093887435491,8.448659001318475
PL_Sell_Fired_Today,53,67.9245283018868,707.406186989549,374.76181959731366,37492.5279104461,3.27120243649038,7.616172994853136
SOXL_RSI14_lag1_lt_40,44,72.72727272727273,523.1339645696753,526.0160861516688,23017.894441065713,2.418573150033688,5.507952334111244
SOXS_RSI14_lag1_gt_60,20,80.0,457.28514660489157,573.8349644895825,9145.70293209783,2.693548550313679,7.316861046216618
SOXL_VolZ20_lag1_gt_1,35,65.71428571428571,405.07875733420013,445.26711254166,14177.756506697004,2.4874290075848644,11.51898427574572
SOXS_VolZ20_lag1_gt_1,69,55.072463768115945,243.6742459759424,128.01560900488403,16813.522972340026,1.3963916868543658,14.47776569733238
SOXL_ATRpct_lag1_gt_med,125,59.199999999999996,230.74808954750378,117.77269614586112,28843.51119343797,1.2259006310983867,12.375572429236087
SOXL_EMA20_gt_EMA50_lag1,199,54.773869346733676,120.15612577621717,80.54405656470772,23911.069029467217,0.6627163893751193,12.879877912804876
SOXL_Px_gt_EMA20_lag1,171,49.707602339181285,-31.77902340247243,-6.070415525136923,-5434.213001822785,0.011635798753514604,13.773760751962387
SOXS_RSI14_lag1_lt_40,133,48.87218045112782,-32.79561990538726,-8.73089902938409,-4361.817447416506,0.02387665598185095,14.462224766109095
SOXL_RSI14_lag1_gt_60,114,47.368421052631575,-45.379442233863,-14.73392141657223,-5173.256414660383,-0.05695684203338736,14.319786637557785
SOXL_MACD_hist_lag1_gt_0,129,44.96124031007752,-76.5695992735332,-35.203958120580864,-9877.478306285782,-0.27172085638167953,13.422565825668258
